Antibody;Ab state;PrEST;Multi-targeting;Gene;Gene desc;ENSG;Uniprot;Protein class;Single cell type Enriched/Enhanced Tissue
HPA007865;1000:Published;HPRR1920066;0;BCAN;brevican;ENSG00000132692;Q96GW7;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Melanocytes,Oligodendrocyte precursor cells,Astrocytes
HPA008206;1000:Published;HPRR1920062;0;OMG;oligodendrocyte myelin glycoprotein;ENSG00000126861;P23515;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Ciliated cells,Ionocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Basal respiratory cells,Muller glia cells
HPA008755;1000:Published;HPRR1950204;1;"PCDHGA1;PCDHGA2;PCDHGA3;PCDHGB1;PCDHGA4;PCDHGB2;PCDHGA5;PCDHGB3;PCDHGA6;PCDHGA7;PCDHGB4;PCDHGA8;PCDHGA9;PCDHGA10;PCDHGB7;PCDHGA11;PCDHGA12;PCDHGC3;PCDHGC4;PCDHGC5;PCDHGB5;PCDHGB6";"protocadherin gamma subfamily A, 1;protocadherin gamma subfamily A, 2;protocadherin gamma subfamily A, 3;protocadherin gamma subfamily B, 1;protocadherin gamma subfamily A, 4;protocadherin gamma subfamily B, 2;protocadherin gamma subfamily A, 5;protocadherin gamma subfamily B, 3;protocadherin gamma subfamily A, 6;protocadherin gamma subfamily A, 7;protocadherin gamma subfamily B, 4;protocadherin gamma subfamily A, 8;protocadherin gamma subfamily A, 9;protocadherin gamma subfamily A, 10;protocadherin gamma subfamily B, 7;protocadherin gamma subfamily A, 11;protocadherin gamma subfamily A, 12;protocadherin gamma subfamily C, 3;protocadherin gamma subfamily C, 4;protocadherin gamma subfamily C, 5;protocadherin gamma subfamily B, 5;protocadherin gamma subfamily B, 6";"ENSG00000081853;ENSG00000204956;ENSG00000240184;ENSG00000240764;ENSG00000242419;ENSG00000253159;ENSG00000253305;ENSG00000253485;ENSG00000253537;ENSG00000253731;ENSG00000253767;ENSG00000253846;ENSG00000253873;ENSG00000253910;ENSG00000253953;ENSG00000254122;ENSG00000254221;ENSG00000254245;ENSG00000261934;ENSG00000262209;ENSG00000262576;ENSG00000276547";"Q9Y5H4;Q9Y5H1;Q9Y5H0;Q9Y5G3;Q9Y5G9;Q9Y5G2;Q9Y5G8;Q9Y5G1;Q9Y5G7;Q9Y5G6;Q9UN71;Q9Y5G5;Q9Y5G4;Q9Y5H3;Q9Y5F8;Q9Y5H2;O60330;Q9UN70;Q9Y5F7;Q9Y5F6;Q9Y5G0;Q9Y5F9";"Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";"Skeletal myocytes,Bipolar cells,Melanocytes,Cardiomyocytes,Horizontal cells;Schwann cells,Skeletal myocytes,Fibroblasts,Bipolar cells,Peritubular cells;Skeletal myocytes,Schwann cells,Fibroblasts,Endometrial stromal cells,Ovarian stromal cells,Horizontal cells;Late spermatids,Early spermatids;Skeletal myocytes;Cardiomyocytes,Bipolar cells,Mucus glandular cells;Skeletal myocytes,Bipolar cells,Endometrial stromal cells;Salivary duct cells;Skeletal myocytes,Bipolar cells;Skeletal myocytes,Bipolar cells,Prostatic glandular cells,Endometrial stromal cells;Lymphatic endothelial cells;Skeletal myocytes,Bipolar cells,Ovarian stromal cells,Horizontal cells;Skeletal myocytes,Bipolar cells,Horizontal cells,Cardiomyocytes;Skeletal myocytes,Bipolar cells,Horizontal cells;Skeletal myocytes,Lymphatic endothelial cells,Bipolar cells,Schwann cells,Fibroblasts;Skeletal myocytes,Bipolar cells;Skeletal myocytes,Lymphatic endothelial cells,Bipolar cells,Mesothelial cells,Fibroblasts;Fibroblasts,Mesothelial cells,Serous glandular cells,Skeletal myocytes,Bipolar cells,Basal squamous epithelial cells;;;Skeletal myocytes,Mucus glandular cells,Bipolar cells;Skeletal myocytes,Mucus glandular cells"
HPA009172;1000:Published;HPRR1920041;0;SLC1A2;solute carrier family 1 member 2;ENSG00000110436;P43004;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Astrocytes
HPA010509;1000:Published;HPRR1950899;0;PCDH8;protocadherin 8;ENSG00000136099;O95206;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Excitatory neurons,Muller glia cells,Inhibitory neurons,Bipolar cells
HPA010574;1000:Published;HPRR1950859;0;SYT4;synaptotagmin 4;ENSG00000132872;Q9H2B2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)";Bipolar cells,Excitatory neurons,Mesothelial cells,Horizontal cells,Inhibitory neurons,Cone photoreceptor cells
HPA010575;1000:Published;HPRR1950860;0;CHIT1;chitinase 1;ENSG00000133063;Q13231;"Candidate cardiovascular disease genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Macrophages,Club cells,Hofbauer cells,Granulocytes
HPA010631;1000:Published;HPRR1951049;0;PIANP;PILR alpha associated neural protein;ENSG00000139200;Q8IYJ0;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Horizontal cells,Excitatory neurons,Inhibitory neurons,Oligodendrocyte precursor cells,Bipolar cells,Peritubular cells
HPA010661;1000:Published;HPRR1950343;0;TMEM59L;transmembrane protein 59 like;ENSG00000105696;Q9UK28;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Transporters";Excitatory neurons,Inhibitory neurons,Horizontal cells,Bipolar cells,Muller glia cells,Oligodendrocyte precursor cells,Astrocytes
HPA011777;1000:Published;HPRR1920039;0;SEZ6;seizure related 6 homolog;ENSG00000063015;Q53EL9;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Horizontal cells,Bipolar cells,Inhibitory neurons,Cone photoreceptor cells,Rod photoreceptor cells,Excitatory neurons
HPA012164;1000:Published;HPRR1951163;0;CDH22;cadherin 22;ENSG00000149654;Q9UJ99;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins";Excitatory neurons
HPA012497;1000:Published;HPRR260370;0;CNTN2;contactin 2;ENSG00000184144;Q02246;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA012499;1000:Published;HPRR670112;0;MAG;myelin associated glycoprotein;ENSG00000105695;P20916;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Ovarian stromal cells,Granulosa cells,Secretory cells
HPA012693;1000:Published;HPRR1920061;0;OMG;oligodendrocyte myelin glycoprotein;ENSG00000126861;P23515;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Ciliated cells,Ionocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Basal respiratory cells,Muller glia cells
HPA013346;1000:Published;HPRR1950128;0;WSCD2;WSC domain containing 2;ENSG00000075035;Q2TBF2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins";Bipolar cells,Excitatory neurons,Inhibitory neurons,Horizontal cells,Oligodendrocyte precursor cells
HPA013392;1000:Published;HPRR2010090;0;GAP43;growth associated protein 43;ENSG00000172020;P17677;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Excitatory neurons
HPA014429;1000:Published;HPRR2010001;0;TAC1;tachykinin precursor 1;ENSG00000006128;P20366;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins";Inhibitory neurons,Enteroendocrine cells
HPA015103;1000:Published;HPRR1920026;0;PTPRZ1;protein tyrosine phosphatase receptor type Z1;ENSG00000106278;P23471;"Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocyte precursor cells
HPA015600;1000:Published;HPRR2010089;0;GAP43;growth associated protein 43;ENSG00000172020;P17677;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Excitatory neurons
HPA020415;1000:Published;HPRR2460043;0;EDIL3;EGF like repeats and discoidin domains 3;ENSG00000164176;O43854;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Oligodendrocyte precursor cells
HPA021873;1000:Published;HPRR2110197;0;MOG;myelin oligodendrocyte glycoprotein;ENSG00000204655;Q16653;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes
HPA023269;1000:Published;HPRR1370183;0;NIPA1;NIPA magnesium transporter 1;ENSG00000170113;Q7RTP0;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes,Excitatory neurons,Inhibitory neurons
HPA023474;1000:Published;HPRR2260080;0;AGAP2;ArfGAP with GTPase domain, ankyrin repeat and PH domain 2;ENSG00000135439;Q99490;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Excitatory neurons,NK-cells,Horizontal cells,T-cells,Sertoli cells,Inhibitory neurons
HPA026719;1000:Published;HPRR2440875;0;PRKAR1B;protein kinase cAMP-dependent type I regulatory subunit beta;ENSG00000188191;P31321;"Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oocytes,Late spermatids,Excitatory neurons
HPA027541;1000:Published;HPRR2760140;0;SPP1;secreted phosphoprotein 1;ENSG00000118785;P10451;"Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Hofbauer cells
HPA028970;1000:Published;HPRR260339;0;APLP1;amyloid beta precursor like protein 1;ENSG00000105290;P51693;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Bipolar cells,Horizontal cells,Excitatory neurons
HPA028971;1000:Published;HPRR260340;0;APLP1;amyloid beta precursor like protein 1;ENSG00000105290;P51693;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Bipolar cells,Horizontal cells,Excitatory neurons
HPA031859;1000:Published;HPRR2850394;0;CNTNAP4;contactin associated protein family member 4;ENSG00000152910;Q9C0A0;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Inhibitory neurons
HPA032129;1000:Published;HPRR2640175;0;SHANK1;SH3 and multiple ankyrin repeat domains 1;ENSG00000161681;Q9Y566;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);SH3-domain containing proteins";Horizontal cells,Bipolar cells,Inhibitory neurons,Excitatory neurons,Rod photoreceptor cells
HPA032130;1000:Published;HPRR2640178;0;SHANK1;SH3 and multiple ankyrin repeat domains 1;ENSG00000161681;Q9Y566;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);SH3-domain containing proteins";Horizontal cells,Bipolar cells,Inhibitory neurons,Excitatory neurons,Rod photoreceptor cells
HPA034656;1000:Published;HPRR2850685;0;C11orf87;chromosome 11 open reading frame 87;ENSG00000185742;Q6NUJ2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins";Excitatory neurons,Inhibitory neurons,Horizontal cells
HPA034780;1000:Published;HPRR2640006;0;MAPK8IP2;mitogen-activated protein kinase 8 interacting protein 2;ENSG00000008735;Q13387;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);SH3-domain containing proteins";Horizontal cells,Bipolar cells,Rod photoreceptor cells
HPA035661;1000:Published;HPRR2850324;0;TMEM132B;transmembrane protein 132B;ENSG00000139364;Q14DG7;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Oligodendrocyte precursor cells,Astrocytes
HPA035662;1000:Published;HPRR2850321;0;TMEM132B;transmembrane protein 132B;ENSG00000139364;Q14DG7;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Oligodendrocyte precursor cells,Astrocytes
HPA036814;1000:Published;HPRR2850279;0;NCAN;neurocan;ENSG00000130287;O14594;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Astrocytes
HPA037942;1000:Published;HPRR3020794;0;SHTN1;shootin 1;ENSG00000187164;A0MZ66;"Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes
HPA038171;1000:Published;HPRR3050530;0;NRGN;neurogranin;ENSG00000154146;Q92686;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Excitatory neurons,Alveolar cells type 2,Smooth muscle cells,Monocytes
HPA038224;1000:Published;HPRR2930441;0;CREG2;cellular repressor of E1A stimulated genes 2;ENSG00000175874;Q8IUH2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Kim et al 2014)";Excitatory neurons,Inhibitory neurons,Granulosa cells,Oligodendrocytes
HPA038295;1000:Published;HPRR2920481;0;ERMN;ermin;ENSG00000136541;Q8TAM6;"Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes
HPA038296;1000:Published;HPRR2920482;0;ERMN;ermin;ENSG00000136541;Q8TAM6;"Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes
HPA039063;1000:Published;HPRR3100542;0;MAP1A;microtubule associated protein 1A;ENSG00000166963;P78559;"Cytoskeleton related proteins;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Dendritic cells,Horizontal cells,Peritubular cells,Ciliated cells
HPA039064;1000:Published;HPRR3100544;0;MAP1A;microtubule associated protein 1A;ENSG00000166963;P78559;"Cytoskeleton related proteins;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Dendritic cells,Horizontal cells,Peritubular cells,Ciliated cells
HPA041032;1000:Published;HPRR3050750;0;C1QTNF4;C1q and TNF related 4;ENSG00000172247;Q9BXJ3;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Kim et al 2014)";Ovarian stromal cells,Granulosa cells,Spermatogonia,Late spermatids,Leydig cells,Muller glia cells,Peritubular cells
HPA041266;1000:Published;HPRR3140711;0;CBLN3;cerebellin 3 precursor;ENSG00000139899;Q6UW01;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted secreted proteins";Dendritic cells,Ovarian stromal cells
HPA041351;1000:Published;HPRR3140805;0;CACNG8;calcium voltage-gated channel auxiliary subunit gamma 8;ENSG00000142408;Q8WXS5;"FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters";Inhibitory neurons,Excitatory neurons,Horizontal cells,Oligodendrocyte precursor cells,Skeletal myocytes
HPA042527;1000:Published;HPRR3420640;0;CEND1;cell cycle exit and neuronal differentiation 1;ENSG00000184524;Q8N111;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Horizontal cells,Bipolar cells,Inhibitory neurons,Excitatory neurons
HPA042886;1000:Published;HPRR2470126;0;ABCA2;ATP binding cassette subfamily A member 2;ENSG00000107331;Q9BZC7;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA044249;1000:Published;HPRR3140804;0;RTN1;reticulon 1;ENSG00000139970;Q16799;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Excitatory neurons,Inhibitory neurons,Oligodendrocytes,Horizontal cells,Oligodendrocyte precursor cells
HPA045765;1000:Published;HPRR2550725;0;HAPLN2;hyaluronan and proteoglycan link protein 2;ENSG00000132702;Q9GZV7;"Essential proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes
HPA046055;1000:Published;HPRR2850661;0;PMCH;pro-melanin concentrating hormone;ENSG00000183395;P20382;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins";T-cells
HPA046278;1000:Published;HPRR3010599;0;CARTPT;CART prepropeptide;ENSG00000164326;Q16568;"FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Horizontal cells,Spermatocytes,Early spermatids
HPA049222;1000:Published;HPRR2850727;0;MBP;myelin basic protein;ENSG00000197971;P02686;"Candidate cardiovascular disease genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes
HPA049910;1000:Published;HPRR3750011;0;DNM1;dynamin 1;ENSG00000106976;Q05193;"Cytoskeleton related proteins;Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Horizontal cells,Rod photoreceptor cells,Bipolar cells,Cone photoreceptor cells
HPA050818;1000:Published;HPRR3250126;0;SLC8A2;solute carrier family 8 member A2;ENSG00000118160;Q9UPR5;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Excitatory neurons,Inhibitory neurons,Bipolar cells,Horizontal cells,Oligodendrocytes
HPA051368;1000:Published;HPRR3760768;0;SYNPR;synaptoporin;ENSG00000163630;Q8TBG9;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons
HPA051438;1000:Published;HPRR3610260;0;CABP1;calcium binding protein 1;ENSG00000157782;Q9NZU7;"Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transporters";Excitatory neurons,Horizontal cells,Bipolar cells
HPA051816;1000:Published;HPRR3300010;0;BCAS1;brain enriched myelin associated protein 1;ENSG00000064787;O75363;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Oligodendrocyte precursor cells,Intestinal goblet cells,Gastric mucus-secreting cells,Distal enterocytes
HPA053342;1000:Published;HPRR3300198;0;PDYN;prodynorphin;ENSG00000101327;P01213;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted secreted proteins;Protein evidence (Kim et al 2014);Transporters";Late spermatids,Early spermatids
HPA053891;1000:Published;HPRR3790117;0;AKAP5;A-kinase anchoring protein 5;ENSG00000179841;P24588;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Granulocytes,Intestinal goblet cells,NK-cells,Excitatory neurons
HPA054671;1000:Published;HPRR3250123;0;SLC8A2;solute carrier family 8 member A2;ENSG00000118160;Q9UPR5;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Excitatory neurons,Inhibitory neurons,Bipolar cells,Horizontal cells,Oligodendrocytes
